region,product_category,price,discount,rating,marketing_score,seasonality_index,competitor_price,store_count,customer_satisfaction,delivery_time_days,online_ad_spend,units_sold,cost_price,revenue,profit,profit_margin,social_media_mentions,weather_impact_score
Bahrain,Apparel,47.45,0.36,3.37,60.15,1.26,58.68,6,99.5,,46119.51,520,32.88,24673.81,7576.4,0.3071,,
Bahrain,Apparel,124.52,0.22,4.42,52.96,0.76,141.18,35,62.05,7.8,15323.06,347,89.86,43208.15,12026.42,0.2783,,
Kuwait,Apparel,112.26,0.17,3.86,76.66,1.08,,44,97.03,13.8,39797.35,478,81.44,53658.01,14730.01,0.2745,381,
Qatar,Apparel,95.08,0.49,3.94,37.34,1.1,73.94,60,64.47,4.6,11122.09,593,59.62,56380.3,21027.12,0.373,7815,
Qatar,Accessories,43.51,0.04,4.52,91.74,0.76,40.37,60,86.39,11.1,37998.05,594,33.26,25847.9,6092.84,0.2357,,0.435493344
Bahrain,Shoes,138.68,0.28,4.66,82.65,1.27,112.41,38,91.68,9.1,38184.33,510,96.32,70727.29,21604.35,0.3055,,
Oman,Shoes,132.46,0.11,3.16,87.58,0.73,102.88,40,73.01,10.5,39177.74,239,92.06,31658.02,9656.12,0.305,,
Bahrain,Apparel,99.15,0.01,4.64,52.83,0.87,94.63,15,84.99,3.8,36322.57,350,70.67,34703.46,9968.52,0.2872,,0.953507095
Kuwait,Apparel,76.6,0.09,4.35,75.84,0.8,93.5,49,80.58,10.3,15660.51,437,49.66,33472.58,11769.65,0.3516,1383,0.17439066
Qatar,Accessories,82.9,0.32,4.24,81.77,0.92,86.32,17,87.53,1.6,43919.84,639,67.97,52974.62,9539.13,0.1801,,
Qatar,Accessories,39.87,0.33,3.93,48.7,1.3,48.56,50,88.91,9,44790.74,831,28.38,33132.22,9549.85,0.2882,8054,0.811785464
Saudi Arabia,Accessories,43.98,0.41,4.93,21.08,1.13,48.55,40,92.19,,17174.38,652,32.22,28674.93,7667.19,0.2674,,
Qatar,Shoes,72.76,0.22,3.38,44.26,1.23,65.59,60,76.42,13.7,48447.12,486,40.38,35359.7,15736.77,0.445,3990,
UAE,Accessories,17.93,0.46,3.67,58.25,1,16.43,30,98.82,1.4,16060.28,734,14.05,13162.15,2851.98,0.2167,6301,0.315266626
Bahrain,Apparel,33.05,0.09,4.52,55.84,0.7,33.22,27,60.24,6.9,21461.85,389,20.6,12855.75,4842.32,0.3767,3599,
Qatar,Accessories,70.02,0.02,4.52,84.06,0.95,67.07,61,90.72,2.3,8607.84,603,56.21,42220.41,8324,0.1972,,
Kuwait,Shoes,75.57,0.46,3.18,82.9,1.01,85.83,44,67.48,5.4,48625.97,441,49.1,33327.24,11672.88,0.3503,,0.743711195
Saudi Arabia,Apparel,73.28,0.01,3.44,97,0.73,70.56,37,73.32,5.8,12096.25,454,48.76,33271.26,11135.11,0.3347,4103,0.209867775
Qatar,Accessories,12.65,0.14,3.34,41.47,1.07,12.46,40,93.74,8.8,29993.63,670,9.99,8472.96,1777.91,0.2098,,
Bahrain,Shoes,107.58,0.31,4.89,68.28,1.21,107.35,33,97.45,11.8,27500.2,418,61.45,44966.65,19279.95,0.4288,,
Kuwait,Shoes,91.94,0.27,3.37,41.38,0.71,112.72,61,95.51,5.3,8731.3,351,57.42,32272.35,12119,0.3755,5982,
Oman,Apparel,138.25,0.27,4.04,69.68,1.15,107.57,8,95,7.1,17541.65,362,85.08,50047.37,19249.14,0.3846,,
Oman,Accessories,67.49,1.333894765,3.58,54.94,0.81,82.24,45,99.66,1.7,19481,484,48.35,32663.85,9260.18,0.2835,8718,
Kuwait,Accessories,41.62,0.14,3.82,41.87,0.92,,32,99.87,10.9,27190.86,553,30.28,23013.34,6270.71,0.2725,,
Oman,Accessories,25.72,0.49,4.18,80.95,0.82,27.25,7,79.41,6.8,43103.16,607,21,15614.21,2864.6,0.1835,,0.454646755
Saudi Arabia,Apparel,82.03,0.29,3.95,77.23,0.95,66.99,13,91.94,4.3,29696.23,470,53.26,38554.43,13520.04,0.3507,2528,0.080496347
Qatar,Accessories,62.26,0.42,4.16,60.95,0.78,,67,77.23,13.3,40285.67,606,49.29,37728.6,7857.51,0.2083,,0.51610591
Qatar,Accessories,33.11,0.23,3.46,43.36,1.06,39.05,29,63.57,8.4,49827.55,634,25.31,20991.38,4944.49,0.2355,,
Oman,Apparel,63.28,0.05,4.18,62.97,1.27,53.89,51,81.07,9.7,25707.2,571,38.1,36131.39,14378.08,0.3979,,
Qatar,Shoes,208.86,0.22,4.55,64.19,0.78,,58,91.15,,20419.97,318,130.71,66418,24853.37,0.3742,,
Kuwait,Accessories,71.8,0.46,4.59,46.58,1,57.22,6,63.72,10.3,39038.5,567,53.14,40708.19,10575.33,0.2598,6070,0.688912177
Kuwait,Shoes,138.72,0.28,3.4,45.81,0.81,168.05,13,64.58,1.3,19265.06,314,92.16,43558.29,14619.98,0.3356,,
UAE,Accessories,44.41,0.36,4.04,68.42,0.81,33.75,46,88.85,8.3,19333.6,644,32.18,28601.33,7879.72,0.2755,3927,
Qatar,Apparel,133.04,0.3,4.06,62.76,1.12,114.16,27,79.71,6.1,2373.35,455,82.24,60534.88,23117.37,0.3819,,
Kuwait,Accessories,56.38,0.38,4.49,20.39,1.09,50.92,12,63.46,8.9,13634.6,575,47.62,32419.1,5035.8,0.1553,3750,0.599024891
Saudi Arabia,Accessories,84.4,0.2,3.87,89.97,1.2,73.18,12,63.7,5.4,15846.57,549,67.65,46335.23,9197.55,0.1985,,0.004605968
Oman,Apparel,85.87,0.43,4,98,0.73,90.47,-19,76.5,12.2,36508.38,481,57.56,41301.59,13612.91,0.3296,6609,0.942742006
Saudi Arabia,Apparel,86.2,0.04,3.18,89.2,0.78,77.1,58,85.13,3.6,41751.17,473,59.58,40773,12590.74,0.3088,9036,
Qatar,Apparel,48.15,0.23,3.8,45.99,0.78,48.11,30,80.79,2.7,19463.92,449,34.37,21620.37,6190.36,0.2863,7492,0.041555661
Kuwait,Shoes,157.63,0.27,3.37,70.76,1.18,186.98,27,86.54,5.7,44974.35,337,104.22,53120.64,17999.98,0.3389,3695,0.593044762
UAE,Shoes,79.59,0.23,3.33,45.39,0.7,,51,60.85,1.1,17387.02,349,47.69,27775.53,11132.03,0.4008,,
Bahrain,Accessories,78.19,0.08,3.93,27.23,1.09,88.09,51,84.82,10.7,8341.03,566,55.26,44256.53,12977.17,0.2932,183,0.525538359
Qatar,Shoes,234.18,0.26,3.91,26.1,0.92,206.33,63,81.1,3.8,14307.22,234,159.14,54799.18,17560.07,0.3204,,
UAE,Shoes,167.41,0.5,4.66,78.29,0.95,176.86,28,95.91,11.8,12838.22,378,98.49,63280.57,26051.73,0.4117,,0.472371759
Saudi Arabia,Accessories,21.3,0.41,3.46,99.94,0.93,20.55,49,66.98,13.7,16243.63,665,15.85,14164.67,3625.97,0.256,,
Oman,Apparel,27.79,0.21,4.9,43.39,0.99,21.14,14,63.37,5.9,8529.61,520,18.34,14453.37,4915.11,0.3401,4928,
Oman,Accessories,71.4,0.14,3.18,77.28,1.22,65.29,16,87.5,2,31981.52,579,55.76,41339.26,9052.45,0.219,,0.886868371
Saudi Arabia,Accessories,83.31,0.34,4.45,31.94,1.11,95.94,57,64.9,12.6,21457.92,607,69.95,50572.03,8114.88,0.1605,,
Saudi Arabia,Apparel,74.96,0.19,3.98,80.27,0.86,88.13,61,73.26,4.6,30559.58,522,52.89,39130.21,11519.38,0.2944,,
Saudi Arabia,Accessories,52.82,0.22,4.55,36.95,0.79,57.06,22,89.03,10.1,48557.55,457,41.4,24137.31,5219.33,0.2162,9319,
Oman,Apparel,29.09,0.33,4.64,73.09,1.14,31.86,32,98.04,8.6,46488.12,588,20.21,17103.11,5219.76,0.3052,,
Kuwait,Shoes,227.96,0.18,4.17,39.59,0.77,173.57,24,81.28,8.8,41722.49,190,138.45,43312.14,17006.75,0.3927,,
UAE,Shoes,185,0.46,3.92,90.3,1.15,141.5,42,88.17,3.5,8929.97,505,109.24,93427.12,38258.5,0.4095,,
Bahrain,Accessories,69.87,0.16,4.68,56.1,0.99,53.79,27,73.66,6.6,29968.7,565,49.53,39479.32,11497.08,0.2912,,0.110072508
Kuwait,Accessories,74.61,0.49,4.36,32.46,0.93,60.54,9,68.95,2.6,10824.18,508,57.67,37902.72,8608.26,0.2271,7855,0.164613269
Kuwait,Shoes,114.92,0.31,4.66,62.38,1.13,96.91,41,78.48,13.7,19516.56,370,66.94,42519.96,17753.97,0.4175,,
Saudi Arabia,Shoes,185.76,0.45,3.52,65.95,0.88,159.43,31,74.45,10.8,40796.66,333,106.13,61858.3,26516.62,0.4287,8754,
Qatar,Accessories,-74.67,0.27,3.43,55.45,0.87,,11,81.01,2.9,31661.88,485,59.19,36216.45,7510.17,0.2074,6551,0.429191644
Qatar,Shoes,112.67,0.47,,77.91,1.03,105.33,59,91.06,3.1,7470.37,514,66.52,57913.98,23722.33,0.4096,9410,0.965611899
Oman,Shoes,210.49,0.41,4.12,88.85,0.96,162.79,55,94.86,12.1,14041.57,411,126.46,86512.03,34536.35,0.3992,,
Kuwait,Apparel,527.9553487,0.09,4.62,93.23,1.2,80.9,44,93.24,10.6,32612.49,7722,48.4,42388.52,13636.79,0.3217,,0.36972691
UAE,Accessories,18.81,0.08,3.31,24.71,1.28,17.53,51,98.69,7.8,44593.53,693,15.81,13034.94,2077.64,0.1594,,
Qatar,Apparel,90.55,0.44,4.66,56.46,0.84,81.27,50,79.57,11.9,19826.93,557,64.26,50437.5,14647.04,0.2904,,
Saudi Arabia,Apparel,91.59,0.38,3.16,76.94,1.29,76.6,10,74.34,1.7,15032.1,592,60.95,54218.6,18135.95,0.3345,,
Oman,Apparel,43.87,0.02,4.39,57.46,0.96,50.82,47,,4.5,41308.36,487,28.19,21365.88,7637.21,0.3574,,
Saudi Arabia,Shoes,149.58,0.26,4.94,33.39,1.08,168.72,23,65.03,7.2,24306.24,284,93.58,42482.09,15904.36,0.3744,,0.357639459
UAE,Accessories,65.28,0.43,4.98,74.18,0.84,56.93,33,72.22,9.3,35163.02,684,52.45,44654.63,8777.38,0.1966,4807,0.18746532
Qatar,Accessories,31.22,0.46,4.64,44.91,1.2,,16,92.31,3.1,14556.57,699,24.29,21822.48,4846.69,0.2221,,0.484363786
Qatar,Accessories,52.18,0.21,3.53,32.67,0.81,40.95,55,98.07,,36441.12,518,39.05,27027.78,6800.28,0.2516,,0.737127873
Kuwait,Apparel,34.67,0.48,3.73,73.07,1.04,36.78,67,74.3,1.7,48711.31,636,22.87,22052.51,7509.68,0.3405,,0.882569123
UAE,Apparel,41.36,0.13,4.48,31.65,1.27,40.86,47,66.26,5.5,16059.49,622,30.74,25725.92,6606.27,0.2568,4768,
Kuwait,Apparel,39.93,0.33,4.48,81.13,1.23,33.32,5,73.06,6.4,26008.21,563,27.19,22479.45,7170.02,0.319,,
Oman,Shoes,101.04,0.38,,69.96,0.8,100.96,37,,11.6,12965.72,418,57.6,42235.05,18159.21,0.43,,0.336717744
Kuwait,Accessories,89.73,0.07,3.95,23.42,0.87,107.49,45,81.41,8.8,37226.65,465,69.07,41722.4,9604.43,0.2302,,
Kuwait,Apparel,98.56,0.38,4.97,78.09,0.78,87.68,62,84.25,7.4,14487.99,553,71.84,54501.56,14774.03,0.2711,3561,
UAE,Shoes,136.54,0.39,3.4,41.23,1.01,132.76,34,94.69,12.8,25136.09,332,89.39,45332.11,15653.31,0.3453,4219,
Oman,Shoes,105.53,0.4,4.65,28.45,0.97,90.83,29,82.63,1.4,12897.28,376,73.59,39679.91,12009.79,0.3027,,
UAE,Shoes,183.18,0.16,4.32,65.37,0.82,151.71,24,97.03,11.6,6196.67,283,115.59,51841.24,19128.6,0.369,,0.110461761
UAE,Apparel,127.37,0.11,3.32,63.44,1.24,128.75,13,98.04,4.5,12041.49,454,80.79,57827.17,21146.48,0.3657,,
Saudi Arabia,Shoes,185,0.33,4.12,44.25,1.01,201.7,23,98.17,4.6,5213.32,291,124.7,53833.7,17545.65,0.3259,,
Bahrain,Apparel,97.11,0.29,3.65,30.92,1.05,108.38,6,85.31,5.7,49825.3,375,66.87,36415.93,11339.73,0.3114,,
Qatar,Shoes,249.72,0.12,,57.18,1.03,216.92,31,73.94,9.1,8430.63,231,149.19,57684.9,23221.35,0.4026,,
Kuwait,Apparel,37.43,0.47,4.02,83.5,0.98,29.01,41,74.14,7.3,31735.74,566,27.57,21185.96,5583.45,0.2635,,0.333318115
Oman,Apparel,-93.73,0.37,3.24,89.53,1.29,107.88,5,77.99,,6835.67,505,67.3,47333.51,13348.92,0.282,,0.441284593
Qatar,Apparel,65.4,0.2,4.11,43.43,1.04,67.07,41,97.53,8.5,14786.41,504,45.99,32962.25,9783.36,0.2968,,
Kuwait,Shoes,80.44,0.38,3.87,32.69,0.77,71.88,42,96.67,12.8,32276.45,302,46.68,24292.93,10196.82,0.4197,3131,
Bahrain,Apparel,35.38,0.41,3.92,89.17,1.17,28.88,52,76.73,5.9,26513.81,682,26.15,24130.13,6293.85,0.2608,,
UAE,Shoes,172.58,0.06,3.51,60.5,1.26,145.37,40,69.13,3.8,4352.36,401,112.3,69205.52,24171.68,0.3493,,0.183498021
Qatar,Accessories,46.33,0.23,3.56,29.45,0.79,56.33,7,74.01,13.2,29241.79,474,33.47,21960.86,6096.51,0.2776,6755,
UAE,Apparel,42.73,0.35,3.35,94.75,0.87,39.01,35,80.11,10.8,22017.74,551,26.81,23544.02,8773.36,0.3726,,
Bahrain,Shoes,227.62,0.03,4.79,48.15,1.09,230.6,21,85,2.9,19404.04,229,132.9,52125.1,21690.42,0.4161,,
Qatar,Shoes,106.64,0.1,4.62,58.89,0.94,115.9,5,81.09,11.3,40771.51,320,68.96,34123.37,12055.94,0.3533,,
Saudi Arabia,Accessories,24.38,0.05,3.46,47.51,0.7,21.48,32,71.31,9.7,43473.69,467,17.08,11385.12,3410.21,0.2995,6801,
Saudi Arabia,Shoes,200.25,0.05,4.31,66.82,1.11,206.4,8,90.46,12.4,46353.85,319,112.58,63881.26,27967.63,0.4378,1763,0.886991336
Bahrain,Accessories,26.85,0.39,3.87,66.61,0.94,31.84,30,87.98,4.3,43295.19,604,22.56,16215.03,2590.62,0.1598,,
Saudi Arabia,Apparel,100.99,0.03,3.66,64.89,1.06,,30,67.81,11.1,2163.78,467,61.73,47162.4,18334.11,0.3887,,0.982920915
UAE,Shoes,93.05,0.49,3.26,35.45,0.79,112.75,60,98.2,,41389.77,410,60.36,38151.79,13405.07,0.3514,,
Bahrain,Accessories,17.9,0.29,4.99,75.56,0.98,20.53,28,,3.3,15133.83,658,14.81,11777.77,2030.76,0.1724,,0.312184931
Kuwait,Accessories,57.13,0.23,4.6,61.28,0.76,61.82,51,97.66,3.3,5749.78,532,40.7,30392.85,8738.3,0.2875,,
UAE,Shoes,131.58,0.17,3.52,45.56,1.04,108.17,49,81.52,,38056.35,396,90.56,52107.26,16247.41,0.3118,,0.246830763
Saudi Arabia,Apparel,72.25,0.08,4.99,91.73,0.89,59.31,35,76.84,3.1,14187.66,510,54.17,36848.07,9222.75,0.2503,,0.627582084
Kuwait,Shoes,248.9,0.22,3.16,30.03,0.98,251.7,26,63.45,8.6,13091.13,144,154.35,35841.79,13615.89,0.3799,7145,
Bahrain,Accessories,85.1,0.1,4.42,28.15,0.9,71.05,21,60.77,13.8,48272.88,455,70.33,38721.2,6719.14,0.1735,,
Kuwait,Shoes,92.21,0.06,3.71,94.3,1.05,88.16,65,84.65,13.8,9279.51,376,55.96,34670.57,13629.31,0.3931,,
Qatar,Apparel,109.37,0.01,3.75,29.01,1.1,135.39,47,88.07,7.8,37644.79,470,72.09,51404.08,17520.84,0.3408,459,
UAE,Accessories,181.7066055,0.4,4.86,31.24,1.1,21.36,41,81.58,6.3,40976.75,9763,18.31,18440.82,4689.23,0.2543,60,
UAE,Accessories,37.84,0.16,4.95,41.52,0.8,41.4,29,66.83,13.9,2085.68,598,30.91,22631.05,4144.23,0.1831,,
Oman,Shoes,138.44,0.31,4.52,66.91,0.83,113.75,7,86.11,9.6,35484.74,309,84.55,42777.9,16650.71,0.3892,,0.535984514
UAE,Apparel,110.92,0.33,4.53,91.94,1.21,135.46,16,76.32,8.7,49963.86,596,71.19,66107.17,23679.07,0.3582,,0.492988371
UAE,Shoes,74.1,0.16,3.51,20.08,1.21,68.35,33,81.64,8.7,12720.89,435,46.44,32232.4,12031.17,0.3733,9286,
Kuwait,Shoes,219.36,0.29,4.31,60.18,1.14,196.22,21,91.44,2.3,8831.5,364,135.27,79845.52,30606.06,0.3833,2456,
Qatar,Accessories,9.44,0.39,3.83,22.8,0.96,9.13,61,96.41,10.4,35383.24,687,7.16,6488.62,1572.34,0.2423,,0.406078545
Saudi Arabia,Apparel,81.27,1.333894765,3.87,66.87,0.71,82.78,33,63.25,6.5,15242.86,367,55.59,29826.11,9423.29,0.3159,3874,
Qatar,Accessories,74.51,0.08,3.39,65.66,0.83,88.07,12,96.48,,22630.17,498,57.26,37108.31,8594.46,0.2316,6884,
Oman,Shoes,229.86,0.33,4.23,64.29,1.09,181.76,35,,10,41733.22,393,132.84,90333.18,38127.56,0.4221,,
Saudi Arabia,Accessories,52.8,0.11,4.18,98.3,1.28,54.14,34,,13.8,44822.82,741,42.31,39126.98,7774.08,0.1987,9231,0.577246707
Kuwait,Accessories,84.94,0.36,,37.25,0.73,74.79,69,72.24,5.8,46271.42,606,65.12,51474.8,12010.77,0.2333,7278,0.649362685
Saudi Arabia,Apparel,129.68,0.11,4.67,58.97,0.98,106.43,42,97.09,11.9,43498.9,413,97.2,53558.74,13416.23,0.2505,3955,
Kuwait,Accessories,27.68,0.13,3.53,28.04,1.15,26.39,17,93.63,1.5,31848.73,529,21.26,14643.09,3395.73,0.2319,,
Bahrain,Shoes,148.01,0.48,3.38,84.36,1.25,143.27,31,67.67,,7414.44,371,93.75,54912.47,20132.32,0.3666,4432,
Kuwait,Accessories,78.83,0.27,4.19,69.1,1.06,85.07,48,72.35,5.3,27884.13,596,64.64,46982.11,8456.52,0.18,,
Bahrain,Apparel,124.35,0.32,3.28,33.67,1.06,115.3,37,61.13,10.8,34689.48,330,81.68,41034.04,14080.58,0.3431,4757,0.254006544
UAE,Apparel,118.27,0.29,4.51,58.92,0.93,104.54,26,79.15,13.9,28875.9,424,79.27,50146.92,16537.56,0.3298,,
Oman,Apparel,119.64,0.15,3.03,37.28,1.05,119.12,69,60.46,1.6,25484.33,403,86.96,48213.87,13168.15,0.2731,,0.928821751
Saudi Arabia,Apparel,99.85,0.34,4.28,76.28,1.08,75.17,24,65.43,1.7,17660,574,67.57,57314.41,18530.67,0.3233,9381,0.810791392
Saudi Arabia,Apparel,119.52,0.17,,35.38,0.73,147.71,39,71.83,11.5,49240.56,352,85.21,42072.26,12078.15,0.2871,9343,0.200770005
Kuwait,Shoes,205.25,0.06,4.39,63.62,0.75,178.89,62,76.99,7,4977.51,299,134.32,61370.76,21208.29,0.3456,,0.189370837
Oman,Accessories,29.68,0.29,4.24,98.05,0.95,24.2,47,63.23,3,43900.64,619,22.67,18370.18,4337.54,0.2361,,
UAE,Shoes,86.61,0.41,3.06,35.05,0.95,84.81,30,71.75,5.4,36875.6,351,57.69,30401.43,10153.03,0.334,2643,
Kuwait,Shoes,194.82,0.4,3.61,67.16,1.18,234.71,27,67.36,1.6,36707.09,261,112.99,50848.76,21358.48,0.42,7134,
Kuwait,Apparel,105.36,0.42,,70.79,0.76,102.07,47,89.04,8.9,46355.69,464,66.12,48885.92,18206.02,0.3724,,
Saudi Arabia,Apparel,50.17,0.12,3.41,31.83,0.86,46.33,26,88.45,,41952.72,378,35.36,18965.44,5599.96,0.2953,,0.661825326
UAE,Shoes,176.87,0.32,4.4,42.4,0.87,150.2,27,64.34,,17696.2,388,118.55,68624.6,22626.38,0.3297,5094,
Kuwait,Accessories,62.96,0.41,3.24,38.29,1.23,,49,64.41,1.1,30457.21,646,45.15,40674.07,11504.64,0.2828,7564,
Bahrain,Accessories,73.13,0.28,3.85,69.29,1.13,75.5,10,,6.5,34684.52,539,61.98,39417.01,6010.9,0.1525,6320,0.601463314
UAE,Shoes,160.67,0.03,,94.49,1.3,167.85,23,71.48,13.8,19890.06,338,106.26,54306.76,18389.48,0.3386,2125,
Oman,Shoes,915.0436874,0.16,3.97,42.02,1.13,134.99,37,,11.2,28107.1,3952,75.06,37597.7,14780.48,0.3931,,
Kuwait,Apparel,100.93,0.48,3.89,36.19,1.28,125.23,16,83.68,6.5,9451.09,455,66.04,45923.89,15875.53,0.3457,2637,0.38183853
Oman,Shoes,173.58,0.41,4.29,80.03,1.27,,44,,11.9,6766.48,403,107.96,69952.22,26442.58,0.378,,0.359844386
Oman,Apparel,50.41,0.32,,62,0.93,48.17,68,94.19,3.9,30940.65,539,35.84,27173.68,7853.92,0.289,379,0.897268633
Kuwait,Shoes,111.3,0.14,3.06,85.42,0.72,95.99,45,69.15,4.6,12479.11,356,76.62,39621.65,12344.07,0.3115,,
UAE,Shoes,73.76,0.3,4.74,69.59,0.78,87.86,29,84.99,8.9,25913.48,400,42.38,29504.32,12551.33,0.4254,6485,
Saudi Arabia,Shoes,175.47,0.46,3.76,21.8,1.18,208.82,51,87.17,2.8,18247.53,370,117.62,64923.2,21405.19,0.3297,,
Saudi Arabia,Shoes,187.44,0.12,4.27,29.06,1.28,150.39,49,85.89,3.4,41288.55,256,130.96,47985.21,14460.1,0.3013,7655,
UAE,Shoes,163.61,0.37,3.26,48.61,0.7,131.14,41,78.58,3.1,49469.17,324,112.11,53010.8,16686.62,0.3148,8117,
Kuwait,Accessories,63.02,0.42,4.36,68.12,1.04,49.5,32,80.42,2.4,17765.27,649,50.26,40899.47,8282.07,0.2025,7895,
Bahrain,Shoes,160.78,0.36,4.46,78.31,0.75,183.56,58,,,14967.09,442,103.96,71064.27,25114.62,0.3534,,
